run,family,source,seed,ckpt,method,group,n,exact_identities,metric,estimate,ci_low,ci_high,finite_only_mean
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,mse,0.00203198191681268,0.0017167515842030623,0.0024008426558685373,0.00203198191681268
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,mae,0.02369692669540657,0.02207769227017821,0.02547208363223867,0.02369692669540657
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,pixel_cosine_similarity,0.9960301273063866,0.9958727514164453,0.9961754215846637,0.9960301273063866
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,cross_correlation,0.9926667492300447,0.9923982162953148,0.9929180703047877,0.9926667492300447
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,subject_wasserstein_raw_harm,0.017465901136224496,0.01563356408021699,0.01947549364868028,0.017465901136224496
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,subject_kl_raw_harm,0.038281896040030655,0.03323227906700512,0.04369337251935125,0.038281896040030655
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,raw_site_ba,0.9509803921568626,0.9019607843137254,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,harmonized_site_ba,0.8392156862745097,0.8039215686274509,0.8705882352941177,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,all,109,1,site_ba_drop,0.11176470588235288,0.04705882352941171,0.1725490196078432,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,psnr,26.888353599607893,26.448084531224275,27.30420762491158,26.888353599607893
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,mse,0.002460955877028674,0.0020793649131717407,0.0029008284940197026,0.002460955877028674
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,mae,0.02869961091827534,0.026776818245671248,0.03080447650215046,0.02869961091827534
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,pixel_cosine_similarity,0.9951920430710683,0.9950058225670487,0.995359481471031,0.9951920430710683
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,cross_correlation,0.9911186185119434,0.9908015354576498,0.9914098867036748,0.9911186185119434
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,subject_wasserstein_raw_harm,0.021153146629932604,0.01891197591671829,0.023477206773912216,0.021153146629932604
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,subject_kl_raw_harm,0.04636362889520751,0.0400965706519024,0.052675199835009116,0.04636362889520751
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,raw_site_ba,0.9479166666666666,0.8958333333333333,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,harmonized_site_ba,0.8291666666666666,0.7875,0.8625,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,source_non_nyu,90,0,site_ba_drop,0.11875000000000002,0.054166666666666585,0.18333333333333346,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,psnr,,,,161.14089495282437
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,mse,7.635249146505712e-17,6.219042576639136e-17,8.992288482426069e-17,7.635249146505712e-17
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,mae,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,pixel_cosine_similarity,1.0,0.9999999999999998,1.0,1.0
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,cross_correlation,0.9999999999999991,0.9999999999999986,0.9999999999999994,0.9999999999999991
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,subject_wasserstein_raw_harm,1.429186079423959e-09,1.1623459814530096e-09,1.6843577684657724e-09,1.429186079423959e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,subject_kl_raw_harm,3.568140361386613e-09,0.0,9.144053678560046e-09,3.568140361386613e-09
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,raw_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,harmonized_site_ba,1.0,1.0,1.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,stargan_conservative,target_nyu,19,1,site_ba_drop,0.0,0.0,0.0,
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,psnr,,,,49.05062628085652
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,mse,0.0022571898057962476,0.0019254517277435023,0.002625901834583454,0.0022571898057962476
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,mae,0.0247866330094273,0.023096678406165628,0.026617014877860893,0.0247866330094273
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,pixel_cosine_similarity,0.9967203429878762,0.9965553307013103,0.9968973002952402,0.9967203429878762
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,cross_correlation,0.9938735422254964,0.9935878433855501,0.9941695726565645,0.9938735422254964
frozen_probe_v1_9methods_20260914_153813,frozen,raw,,best,dlest_1500,all,109,1,subject_wasserstein_raw_harm,0.020131889013029335,0.018185179452764412,0.022155955562359834,0.020131889013029335
